Year,Month,Day,Hour,Min,Second,North,East,Depth(km),Richter tal
2017,3,7,14,47,9.7,57761,15001,4.6,2.6
2017,3,6,22,17,40.7,58041,8215,36.9,2.1
2017,3,6,13,2,2.8,56367,13228,0.0,2.4
2017,3,6,12,26,20.1,55662,13382,0.0,2.1
2017,3,3,13,34,58.4,57265,15736,0.0,2.5
2017,3,3,11,3,19.1,55659,13343,2.2,2.5
2017,3,2,16,26,49.5,56128,12434,28.7,2.6
2017,2,23,16,59,0.3,58104,5552,6.4,1.8
2017,2,23,14,13,9.2,58581,5551,8.2,2.0
2017,2,23,13,49,25.3,57488,12563,9.2,1.3
2017,2,23,12,37,14.0,57426,14788,0.0,0.8
2017,2,23,10,50,36.2,56246,14619,0.0,1.9
2017,2,22,14,19,26.3,58274,6379,0.0,2.5
2017,2,22,14,14,52.2,57660,15323,0.0,1.2
2017,2,22,13,54,23.2,57214,13593,19.9,1.7
2017,2,22,12,17,41.9,55719,13292,0.7,1.2
2017,2,21,13,1,44.1,57809,13395,0.0,1.2
2017,2,21,12,3,0.6,55503,13469,12.6,1.4
2017,2,20,16,54,25.2,58401,9050,8.8,1.5
2017,2,20,13,13,8.1,56531,14124,0.0,1.1
2017,2,20,10,37,2.0,57678,12307,5.2,0.9
2017,2,19,15,54,33.8,58996,15310,0.0,1.5
2017,2,19,14,19,27.7,57935,8379,14.9,1.7
2017,2,18,17,16,17.1,58815,17688,0.0,1.6
2017,2,18,15,17,30.1,58370,9102,15.0,1.2
2017,2,17,14,19,10.6,58240,6395,0.0,2.0
2017,2,17,12,14,56.9,58782,5195,112.5,2.2
2017,2,17,11,10,59.0,56189,13132,5.2,1.9
2017,2,16,14,50,55.2,58443,8797,9.2,1.5
2017,2,16,13,1,44.5,56314,13744,28.3,1.6
2017,2,15,14,9,45.5,56275,12941,0.0,1.7
2017,2,14,12,19,51.1,56198,15503,10.8,1.7
2017,2,14,11,6,34.4,55703,13315,1.5,1.6
2017,2,14,11,5,57.5,55686,13273,0.0,1.9
2017,2,10,11,16,6.8,56047,14002,0.0,1.4
2017,2,9,10,42,47.1,56187,14382,0.1,1.7
2017,2,8,13,6,29.0,56252,13021,0.0,2.4
2017,2,2,15,41,41.7,58448,8689,10.9,0.8
2017,2,2,15,31,16.9,58477,8741,5.5,1.5
2017,2,2,14,44,21.5,57584,5315,15.0,2.1
2017,2,2,13,5,38.9,56767,16364,0.0,2.2
2017,2,2,11,46,9.7,56433,14050,0.0,1.7
2017,2,1,14,0,6.9,57927,12041,0.0,1.3
2017,1,31,20,21,9.3,58002,8687,10.4,1.6
2017,1,31,14,17,34.1,58271,6190,3.7,1.1
2017,1,31,13,44,48.4,56806,14743,20.5,2.0
2017,1,31,13,3,5.7,57755,14217,0.0,1.1
2017,1,31,12,59,8.2,58857,9430,0.0,1.5
2017,1,30,13,45,11.0,58157,11981,0.0,0.9
2017,1,30,12,37,37.9,58589,16146,0.1,1.3
2017,1,30,11,53,35.8,57380,14418,0.4,2.1
2017,1,30,11,50,21.9,56274,12930,0.5,0.6
2017,1,27,14,11,39.4,58084,7470,13.0,2.0
2017,1,27,13,30,48.1,56202,14760,6.5,1.7
2017,1,27,12,15,35.7,58187,4796,102.6,1.9
2017,1,27,10,53,51.7,56046,14025,1.8,1.7
2017,1,26,11,9,22.2,56170,13106,4.5,2.1
2017,1,24,12,54,24.6,56201,14044,25.2,1.8
2017,1,23,14,55,13.5,56634,7769,0.0,3.2
2017,1,23,13,28,12.1,56068,13996,0.0,1.7
2017,1,20,13,29,25.0,56134,14511,9.8,1.9
2017,1,19,6,50,18.7,55428,15238,7.4,0.9
2017,1,19,6,48,30.9,55419,15238,9.8,1.8
2017,1,17,23,25,7.2,56708,11177,15.0,1.6
2017,1,17,11,4,50.4,55664,13368,2.7,1.8
2017,1,16,1,17,24.8,58273,7775,15.0,1.1
2017,1,12,16,3,21.7,57914,7230,21.0,2.4
2017,1,12,14,20,21.9,58486,6399,3.3,2.8
2017,1,12,9,41,21.4,58279,8180,0.0,0.9
2017,1,10,18,46,53.3,58383,8825,11.4,0.3
2017,1,10,10,10,22.3,55673,13312,2.7,0.9
2017,1,9,14,8,31.5,56601,15978,4.9,1.2
2017,1,9,13,36,15.7,56334,15018,15.0,1.4
2017,1,7,4,35,17.8,57836,8367,15.0,1.4
2017,1,4,5,11,1.4,57242,6975,15.0,2.3
2017,1,3,18,52,23.9,54770,2115,0.0,3.6
2016,12,23,12,10,11.9,56186,13119,1.6,2.1
2016,12,23,12,4,44.8,56175,13117,3.9,1.6
2016,12,22,14,43,44.9,58828,4893,94.1,1.7
2016,12,22,13,19,12.6,57275,14908,15.0,2.2
2016,12,22,12,12,43.4,56186,15454,2.4,2.2
2016,12,21,13,43,1.1,57711,11860,8.2,0.9
2016,12,21,13,5,15.0,56270,13031,0.0,1.1
2016,12,21,12,49,57.0,57718,12805,0.1,0.8
2016,12,20,14,3,9.9,56869,14682,0.0,1.6
2016,12,20,12,50,52.1,57224,14069,0.0,2.6
2016,12,19,14,29,59.3,58141,9100,0.0,1.6
2016,12,19,12,38,37.3,56946,12978,0.0,1.2
2016,12,18,7,35,56.7,57960,7474,0.0,0.7
2016,12,17,17,11,28.5,54399,11469,24.7,1.7
2016,12,17,15,41,21.5,58998,14853,0.1,1.9
2016,12,16,11,0,10.7,55666,13038,7.5,1.5
2016,12,15,9,45,44.0,55355,13170,0.0,2.0
2016,12,14,16,14,10.5,58558,8830,21.8,1.7
2016,12,13,12,31,47.1,56848,15073,0.0,2.5
2016,12,12,14,16,29.8,58201,6481,4.6,3.4
2016,12,12,12,28,5.3,56037,13924,4.2,1.0
2016,12,5,17,2,6.0,56319,11885,31.6,2.3
2016,12,1,10,57,59.5,55330,13209,10.3,1.9
2016,11,28,13,29,23.9,56216,14761,0.0,2.1
2016,11,25,12,4,17.2,55719,13253,1.8,2.2
2016,11,24,9,50,48.1,55581,13502,3.7,1.9
2016,11,23,12,5,53.9,56516,13692,1.9,1.6
2016,11,22,13,30,37.6,55914,13937,3.5,1.9
2016,11,21,14,12,55.8,56288,13996,0.0,1.7
2016,11,21,13,17,16.6,55975,13136,15.0,1.4
2016,11,19,15,46,9.3,55747,12485,24.7,2.2
2016,11,18,12,50,24.1,55582,13450,10.2,1.8
2016,11,17,7,25,46.7,57799,9572,15.0,2.4
2016,11,16,11,45,0.8,56256,13025,3.4,2.5
2016,11,15,14,18,50.9,56316,15629,15.0,1.5
2016,11,14,14,50,31.6,56603,16070,4.1,2.1
2016,11,14,14,17,21.6,58293,6407,5.1,2.1
2016,11,10,11,0,3.9,55707,13253,3.6,1.3
2016,11,9,19,56,23.8,57125,6981,79.3,2.4
2016,11,9,12,37,40.6,55889,13906,15.0,1.1
2016,11,9,12,24,6.5,56179,13145,3.6,0.6
2016,11,8,14,21,55.1,55757,13690,24.7,0.8
2016,11,8,12,47,25.5,56653,13861,58.8,0.1
2016,11,6,22,51,56.7,57023,11923,3.4,0.8
2016,11,4,15,19,53.6,58976,11441,0.0,1.3
2016,11,1,14,24,35.8,56282,15641,24.8,2.3
2016,10,31,13,30,23.3,56187,14715,0.0,1.5
2016,10,31,11,8,11.2,55612,13292,2.0,1.9
2016,10,28,10,30,31.0,56064,13998,0.1,2.2
2016,10,24,12,58,15.1,55722,13339,4.3,2.1
2016,10,20,13,39,44.2,56758,13820,5.0,1.6
2016,10,20,13,18,24.2,58576,6283,1.5,2.8
2016,10,20,13,6,28.3,58560,7404,0.0,1.7
2016,10,20,10,8,25.5,56275,14574,8.3,1.6
2016,10,19,14,16,58.7,58426,9170,9.1,2.2
2016,10,19,11,35,23.8,57863,12466,2.0,0.9
2016,10,18,17,14,30.1,58379,7478,8.6,1.8
2016,10,18,13,44,31.0,58713,5092,104.6,1.7
